CountryName,SeriesName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
North America,Total,198624409,202007500,205198600,208253700,211262900,214031100,216659000,219176000,221503000,223759000,226431000,229677632,232168663,234454577,236715369,239169275,241538008,244018243,246601803,249310344,251795337,254340965,256836391,259214381,261488476,263823014,266290660,268793450,271349094,274154622,277373464,281077441,284943859,288662674,292185983,295640057,299064347,302623445,306070116,309502571,312909974,316052361,319048184,321815286,324809693,327824506,331015609,334185120,337406357,340466060,343391679,345960766,348610010,351141670,353803582,356403310,359115353,361592734,363809239,366007000,368242000,370449000,372630000,374785000,376922000,379050000,381164000,383261000,385334000,387383000,389412000,391418000,393393000,395324000,397203000,399023000,400784000,402489000,404139000,405739000,407294000,408806000,410281000,411718000,413130000,414524000,415905000,417279000,418650000,420019000,421357000
North America,Rural,30.0815974407808,29.6804547603431,29.2602162880254,28.8436345860842,28.430612346039,28.0212823603673,27.6173842951366,27.2378015658649,26.8614503099281,26.4887760983916,26.1983420998008,26.143873653835,26.1461394530536,26.1481716595919,26.1498714840987,26.1516951329764,26.1525620496796,26.139418991108,26.1275525128703,26.1148730278436,26.0688732999809,25.9265484642633,25.7732380871681,25.6202735534762,25.4691992493964,25.3183075944087,25.1684256610577,25.0314586210267,24.8946353332066,24.7590985428581,24.566730614447,24.2022275939249,23.8194260113253,23.4412191992374,23.0668071593222,22.696973864658,22.3283155604035,21.9547946051569,21.5845068087209,21.2183309893797,20.897575877952,20.7053581571251,20.53985757183,20.3752238201171,20.210706636575,20.0489907769799,19.8859034730595,19.7146700948774,19.5444204054756,19.375247656157,19.2080140440881,19.0373565291967,18.8756980666619,18.7096274401241,18.5401335741875,18.3669172473595,18.191249277549,18.010382579723,17.8269519189671,17.6407962388697,17.4488508426524,17.2522442306498,17.0530712825054,16.850115458196,16.643683427871,16.4344554016621,16.2225212244598,16.0079839848041,15.790628659812,15.5707622662843,15.3490597208098,15.1257314993179,14.9006678919045,14.6739664477745,14.4464233376888,14.2173549369335,13.9884372929059,13.7616763787333,13.5368516921158,13.3142797019759,13.0937485747396,12.8754662504953,12.6603260984545,12.4473893004435,12.2382389320553,12.031296629387,11.8282451256898,11.6274059849645,11.4303543891079,11.2355124601506,11.044555111224
Middle East & North Africa,Total,105203269,108061812,111045434,114101592,117271166,120541214,123908159,127444958,131026912,134704201,138473064,142307879,146213388,150292291,154509812,158917328,163532323,168361100,173447058,178866341,184628605,190731422,197157159,203834190,210648811,217572788,224549844,231570113,238565130,245453259,254215138,261046309,265656619,272107828,278384965,286096964,292041181,297891731,303641740,309436741,315326801,321297208,327362252,333608779,340143481,347029874,354302463,361929136,369823252,377883993,385917886,393944527,401974219,409977874,417932242,425821770,433597626,441255234,448912959,456672000,464481000,472433000,480478000,488527000,496448000,504154000,511606000,518831000,525858000,532733000,539498000,546151000,552691000,559140000,565538000,571904000,578248000,584574000,590873000,597132000,603342000,609501000,615607000,621653000,627629000,633524000,639324000,645035000,650639000,656131000,661491000
Middle East & North Africa,Rural,65.0809002200397,64.3214021448669,63.5528314235505,62.7745275670825,61.9680024072669,61.1295247627919,60.3370623686451,59.6013099788224,58.8619477971823,58.1118343712829,57.34605548157,56.597048998306,55.8373895173197,55.0641348200421,54.3240842182696,53.6104410587749,52.9088434924024,52.2611513755553,51.6361312873869,51.0169475024147,50.390465754058,49.7659345225665,49.1496414161152,48.5400163953211,47.9414876788457,47.359588862735,46.7847773538956,46.3025685567723,45.897404165307,45.5272325754371,45.0595557668206,44.6814632446766,44.5790978748397,44.1529639277853,43.7482438286062,43.1683481507025,42.84255928147,42.5048814801039,42.1460529127879,41.7767282535334,41.4043257044364,41.0282895201753,40.6570476041783,40.2836605115988,39.9018138082117,39.4758398051431,39.0332665882794,38.6048184521375,38.1838257970621,37.7619911781471,37.343379162149,36.9979982996058,36.6597109525972,36.3256772529119,35.9999304217094,35.6290991893862,35.2804524949152,34.9474204507294,34.6280142760058,34.32376155096,34.0305624729537,33.7482470826551,33.4738760775727,33.2021133366221,32.9266174161241,32.6434007703995,32.3518615516628,32.0528097954825,31.7478180345264,31.4395409895764,31.128820216201,30.8164790158766,30.5009958095934,30.1831236219909,29.8624102871956,29.5384650325929,29.211042832833,28.8805221870969,28.5463325486187,28.2085971426753,27.8670432275558,27.5226887650718,27.1754258885945,26.8297853014463,26.4849700428119,26.1410354572202,25.7978595015986,25.4558051501081,25.1148490099733,24.775261161262,24.4372062008402
South Asia,Total,572839523,584939726,597494449,610498327,623943332,637823175,652144182,666908582,682102178,697706104,713711349,730107637,746911716,764174958,781966565,800335563,819292545,838819925,858901731,879510848,900620572,922226636,944315187,966836452,989728215,1012942302,1036437892,1060208539,1084281155,1108702403,1133495196,1158655617,1184133314,1209847786,1235693869,1261587756,1287476190,1313346377,1339202708,1365067928,1390946064,1416822959,1442644058,1468324422,1493757846,1518861552,1543610696,1568003159,1592010819,1615610198,1638792934,1661534412,1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744,1835731000,1856800000,1877654000,1898287000,1918653000,1938699000,1958382000,1977672000,1996558000,2015024000,2033067000,2050675000,2067833000,2084525000,2100721000,2116389000,2131506000,2146059000,2160046000,2173470000,2186334000,2198650000,2210414000,2221627000,2232303000,2242454000,2252096000,2261232000,2269868000,2278005000,2285658000,2292825000
South Asia,Rural,83.2563934533686,83.1242666917189,82.9361299086931,82.7462248644524,82.5546837954733,82.3630620029713,82.1699599924898,81.9748749312046,81.7766244866469,81.5730712797935,81.3622813979731,81.1194998625031,80.7920919462696,80.4558534032844,80.1007776656001,79.7170438743168,79.3267671476872,78.9290390325003,78.5218744110658,78.1034954020772,77.6705854183442,77.2903327757452,77.0344467534556,76.7757942339849,76.5148145898175,76.2532283318137,75.9898950220869,75.7252850307386,75.4586219143383,75.1969653567811,74.9351797620914,74.6861427373212,74.4646490732233,74.2420920682794,74.0170207674074,73.7896243178275,73.5575635834656,73.3223713919249,73.0864155610556,72.8529423780807,72.6186973761845,72.346461437713,72.0083033309995,71.6678287166023,71.3226713060833,70.9741357394133,70.6221725108926,70.2663617858693,69.9070213531872,69.5460552123892,69.1826327502892,68.8161088260909,68.4392927359947,68.0555543235686,67.6631540821271,67.2624387081595,66.8536749076722,66.4358628594987,66.0076387543573,65.5677098632643,65.1169907696036,64.6548455823064,64.1821938995526,63.6977834689232,63.203271991681,62.6967648962256,62.1792303587248,61.6498471804976,61.1102598609247,60.5604472877677,59.9998977999927,59.4294201098445,58.849808786654,58.2601928461704,57.6624631709955,57.0564339485791,56.4439182221924,55.8266046246237,55.2033540343322,54.5768809980543,53.9457596693426,53.312309543823,52.6759412448624,52.0372241250404,51.397040190791,50.756640812381,50.1162410694701,49.4756358241977,48.8349359764355,48.1948775503597,47.5548426430277
Sub Saharan Africa,Total,227233223,232567038,238121698,243893426,249873743,256059811,262454422,269072224,275937224,283080084,290526189,298284068,306359274,314761167,323500188,332583486,342018831,351808670,361939361,372404185,383188232,394281956,405688903,417425681,429521938,441988010,454835629,468053168,481594292,495407391,509451851,523726913,538246469,553020362,568072008,583413261,599067779,615054371,631400656,648148316,665327581,682956070,701066167,719716209,738983255,758924681,779566820,800908534,822945457,845655214,869025106,893046172,917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520,1106960000,1136052000,1165567000,1195520000,1225920000,1256819000,1288232000,1320165000,1352599000,1385520000,1418905000,1452724000,1486984000,1521660000,1556732000,1592184000,1627993000,1664136000,1700605000,1737378000,1774448000,1811789000,1849393000,1887233000,1925299000,1963558000,2001991000,2040567000,2079286000,2118131000,2157078000,2196138000
Sub Saharan Africa,Rural,85.3098901849797,85.0093680633926,84.7031012567154,84.3789114232214,84.0390298519321,83.6882078139861,83.3413293687504,82.9858332022149,82.6201436815716,82.2431968886868,81.8749230506686,81.4709822889334,81.0516293130333,80.6289033612428,80.2065187434265,79.771980501383,79.322146474584,78.8788487399842,78.4301271313871,78.0353553163373,77.6605768043237,77.2328521833599,76.7991047823386,76.346834045946,75.8619906539698,75.3394024159026,74.8009585803095,74.2649710875774,73.7279114629789,73.1943192360406,72.6359188313068,72.1576766727395,71.6887441425983,71.2332361537838,70.8341916048255,70.4567319984898,70.0896522435853,69.7203193772555,69.3631944873304,69.0064887901306,68.64635079485,68.2196724884369,67.7796382713844,67.3348695240849,66.8843123813205,66.4207441834613,65.9606089982319,65.5418976273837,65.0344068618985,64.5219622796366,64.0016173061069,63.4761443820197,62.9627706651976,62.4488873699043,61.9308959695331,61.4089272637537,60.8838353868068,60.3553379932818,59.8231766270485,59.2872093643853,58.7478477833761,58.2054418682066,57.6599980167626,57.1118096670256,56.5612477954264,56.0087523862161,55.4541901701681,54.8982237899037,54.3404881957677,53.7813264771073,53.2214927949149,52.6604684455246,52.0991674197915,51.5377216071874,50.9765316577732,50.4168900277827,49.8594381174375,49.3006547516913,48.7414596316979,48.1820057877154,47.6225655862796,47.0632297169936,46.5037436341988,45.9446279725902,45.3854197828636,44.8259613354905,44.266944495329,43.7083961278054,43.1500890152686,42.5923335985069,42.0353353514215
Europe & Central Asia,Total,666753314,674450648,682397793,690411689,698355562,706070485,712830280,719406036,725725288,731903703,737524802,743140600,749283628,755259467,761029475,766625583,772129299,777422116,782653832,787910896,793299477,798559799,803342709,807903899,812662240,817497819,822470024,827505323,832553366,837438580,841843638,845627845,849028572,851984990,853959727,855490089,856856191,858164188,859297100,860318191,861277584,862369006,863936419,866215330,868807868,871456320,874157056,877300641,880829117,884469337,887926760,890162680,893786649,898066267,902415636,906721013,910940725,914626123,917973802,920367000,922356000,923880000,924998000,925826000,926483000,927079000,927615000,928064000,928429000,928680000,928809000,928836000,928779000,928642000,928436000,928159000,927835000,927461000,927052000,926588000,926083000,925542000,924951000,924297000,923579000,922803000,921958000,921042000,920049000,918974000,917721000
Europe & Central Asia,Rural,44.4350344924845,43.9021031300315,43.3708146109982,42.8142711124375,42.2595267542323,41.6969772024563,41.1370748364493,40.5907631999796,40.0634718413885,39.5655373698054,39.0776174969704,38.6049009193785,38.1415898733706,37.6908596536732,37.2498282727317,36.8421552383705,36.4597111648288,36.0736043208589,35.6836293198626,35.3314297558286,35.0244114050792,34.6911243673777,34.3905414716113,34.1054673561401,33.8300269973718,33.5640443548729,33.3029200564566,33.0204186605964,32.7381717563455,32.5367029292605,32.3914637886227,32.2597169946833,32.1521873669901,32.0541923571456,31.9443493384752,31.8274267407169,31.7171808010726,31.610058039757,31.5021886277262,31.3871473265726,31.2584655841875,31.1014683214042,30.8997972888161,30.6891867176643,30.4771037100984,30.2629375052104,30.0497778735353,29.8350078352543,29.6232419985444,29.4226764476935,29.2290036353666,29.0531179712505,28.8784492649611,28.7062878678503,28.5344682879186,28.3554666973028,28.1712841356887,27.9833295169689,27.7893442297629,27.590074730814,27.383705170964,27.1707034516344,26.9512184241629,26.7249120257425,26.4909533119466,26.2489660550508,25.9989439474455,25.7410282851907,25.4761574723003,25.204640398017,24.9267915939712,24.6431848038359,24.3537698212478,24.0588689675268,23.7590567707226,23.4549106052655,23.1467527901038,22.8353638852027,22.521972977502,22.2064850491834,21.8893708382712,21.5714065360242,21.254083702665,20.9383530652434,20.6252968254519,20.3153267254788,20.0078896666964,19.7040427858466,19.4026432343216,19.1044811185547,18.8090823824695
